Id,Price (EUR),Transmission,Number of Gears,Body Type,Number of seats,Drive wheel,Fuel Type,Number of Cylinders,Volume of engine,Power,Max Torque,Top Speed,Acceleration to 100km/h,Combined consumption l/100km
16678,24227,5 speed manual transmission,5,"2-doors, coup&eacute;",4,front,gasoline,4,1997,136,184,200.0,10.2,8.8
16681,38113,5 speed manual transmission,5,"2-doors, coup&eacute;",5,front,gasoline,4,1997,147,184,208.0,NaN,8.1
16684,6215,4 speed manual transmission,4,"3-doors, hatchback",5,rear,gasoline,4,1335,60,94,148.0,14.0,NaN
68781,15126,5 speed manual transmission,5,"3-doors, suv/crossover",4,front+rear,gasoline,4,1789,87,131,150.0,20.0,NaN
59626,9073,4 speed manual transmission,4,"5-doors, hatchback",5,front,gasoline,4,1275,67,102,156.0,13.0,7.1
72494,5945,4 speed manual transmission,4,"3-doors, hatchback",5,front,gasoline,4,998,48,74,138.0,19.7,6.4
59640,6988,4 speed manual transmission,4,"3-doors, hatchback",5,front,gasoline,4,998,48,73,140.0,19.8,6.0
59651,7698,4 speed manual transmission,4,"5-doors, hatchback",5,front,gasoline,4,998,48,73,140.0,19.8,6.0
72501,5214,4 speed manual transmission,4,"2-doors, hatchback",4,front,gasoline,4,998,40,70,NaN,NaN,5.8
59662,15581,5 speed manual transmission,5,"4-doors, hatchback",5,front,gasoline,4,1994,100,160,174.0,10.5,7.5
59663,11615,5 speed manual transmission,5,"4-doors, sedan",5,front,gasoline,4,1275,67,102,154.0,14.0,6.8
59676,14519,5 speed manual transmission,5,"5-doors, station wagon",5,front,gasoline,4,1598,83,132,165.0,12.2,7.2
59681,5895,4 speed manual transmission,4,"3-doors, hatchback",0,front,gasoline,4,903,42,69,135.0,18.8,7.4
59685,46059,4 speed automatic,4,"4-doors, sedan",5,front,gasoline,6,3785,173,306,185.0,11.0,9.0
59687,91490,6 speed manual transmission,6,"3-doors, coup&eacute;",2,rear,gasoline,8,5967,404,546,300.0,4.1,13.0
